"TotalSampleSize","MeanBias","Ratio","VarRatio","n1","n2"
100,-0.677086825728434,"1","1",50,50
100,-0.118722431338068,"1","2",50,50
100,0.868438823285784,"1","5",50,50
100,1.47465187046064,"1","10",50,50
500,-0.773935878226336,"1","1",250,250
500,-0.29991829007059,"1","2",250,250
500,0.85526149129525,"1","5",250,250
500,1.50065027915208,"1","10",250,250
100,-0.458403790621833,"5","1",83,17
100,-2.47853753476858,"5","2",83,17
100,-3.72798902324382,"5","5",83,17
100,-3.68395694957658,"5","10",83,17
500,-0.584500743752486,"5","1",417,83
500,-2.80302467733064,"5","2",417,83
500,-4.04190113070323,"5","5",417,83
500,-3.68538565843947,"5","10",417,83
100,-0.575491639561406,"10","1",91,9
100,-3.23448520751699,"10","2",91,9
100,-4.76696546188655,"10","5",91,9
100,-4.42097227519937,"10","10",91,9
500,-0.318424034703159,"10","1",455,45
500,-3.38785834339065,"10","2",455,45
500,-4.85898075929832,"10","5",455,45
500,-4.60950062655225,"10","10",455,45
100,-1.43777093345397,"20","1",95,5
100,-2.69126303824271,"20","2",95,5
100,-5.19946288086751,"20","5",95,5
100,-4.60814284767469,"20","10",95,5
500,-0.552113947988529,"20","1",476,24
500,-3.93679435156209,"20","2",476,24
500,-5.35237426585931,"20","5",476,24
500,-5.11597963280543,"20","10",476,24
